accession_code,assembly_level
GCA_000245655.2,Contig
GCA_000247105.2,Contig
GCA_000257945.1,Contig
GCA_000276485.1,Contig
GCA_000276525.1,Contig
GCA_000390365.1,Contig
GCA_001298115.1,Contig
GCA_001622575.1,Contig
GCA_001658655.1,Contig
GCA_001940625.1,Contig
GCA_002307395.1,Contig
GCA_002750025.1,Scaffold
GCA_002750285.2,Scaffold
GCA_002752875.2,Scaffold
GCA_002799425.1,Contig
GCA_002892285.1,Contig
GCA_003686995.1,Scaffold
GCA_003687195.1,Scaffold
GCA_003687235.1,Scaffold
GCA_003687755.1,Scaffold
GCA_004343675.4,Contig
GCA_014857135.1,Contig
GCA_015221005.1,Contig
GCA_015698545.1,Contig
GCA_015730515.1,Contig
GCA_016808595.1,Contig
GCA_017571195.1,Contig
GCA_017571295.1,Contig
GCA_018373255.1,Contig
GCA_019915385.1,Complete Genome
GCA_021398365.1,Complete Genome
GCA_021496055.1,Complete Genome
GCA_024218855.1,Complete Genome
GCA_024300665.1,Chromosome
GCA_024505105.1,Contig
GCA_025291725.1,Scaffold
GCA_030013945.1,Complete Genome
GCA_030014045.1,Complete Genome
GCA_030014105.1,Complete Genome
GCF_000007645.1,Complete Genome
GCF_000011925.1,Complete Genome
GCF_000159575.1,Scaffold
GCF_000164075.1,Scaffold
GCF_000177115.1,Contig
GCF_000186205.1,Contig
GCF_000205325.1,Contig
GCF_000205405.1,Contig
GCF_000205425.1,Contig
GCF_000221665.1,Contig
GCF_000221685.1,Contig
GCF_000221705.1,Contig
GCF_000245635.1,Contig
GCF_000245675.1,Contig
GCF_000245695.1,Contig
GCF_000247025.1,Contig
GCF_000247045.1,Contig
GCF_000247125.1,Contig
GCF_000247145.1,Contig
GCF_000247165.1,Contig
GCF_000247185.1,Contig
GCF_000247205.1,Contig
GCF_000257965.1,Contig
GCF_000260295.1,Contig
GCF_000275965.1,Contig
GCF_000275985.2,Contig
GCF_000276005.1,Contig
GCF_000276025.1,Contig
GCF_000276045.1,Contig
GCF_000276065.1,Contig
GCF_000276085.1,Contig
GCF_000276125.1,Contig
GCF_000276145.1,Contig
GCF_000276165.1,Contig
GCF_000276185.1,Contig
GCF_000276205.1,Contig
GCF_000276225.1,Contig
GCF_000276245.1,Contig
GCF_000276265.1,Contig
GCF_000276285.1,Contig
GCF_000276305.1,Contig
GCF_000276325.1,Contig
GCF_000276345.1,Contig
GCF_000276365.1,Contig
GCF_000276385.1,Contig
GCF_000276405.1,Contig
GCF_000276425.1,Contig
GCF_000276445.1,Contig
GCF_000276465.1,Contig
GCF_000276505.1,Contig
GCF_000276545.1,Contig
GCF_000304575.1,Contig
GCF_000308395.1,Contig
GCF_000314715.2,Scaffold
GCF_000362145.1,Scaffold
GCF_000410915.1,Contig
GCF_000417985.2,Contig
GCF_000418025.2,Scaffold
GCF_000418125.2,Scaffold
GCF_000418145.2,Scaffold
GCF_000418165.2,Scaffold
GCF_000418185.2,Contig
GCF_000418205.2,Contig
GCF_000443975.1,Contig
GCF_000551165.1,Scaffold
GCF_000626815.1,Contig
GCF_000627055.1,Contig
GCF_000685135.1,Contig
GCF_000697805.1,Contig
GCF_000697825.1,Contig
GCF_000697905.1,Contig
GCF_000703025.1,Contig
GCF_000705035.1,Contig
GCF_000705055.1,Contig
GCF_000705075.1,Contig
GCF_000751035.1,Complete Genome
GCF_000759555.1,Complete Genome
GCF_000763625.1,Contig
GCF_000783535.2,Contig
GCF_000934225.1,Chromosome
GCF_000966705.1,Contig
GCF_000966715.1,Contig
GCF_000966755.1,Contig
GCF_000966765.1,Contig
GCF_000966775.1,Contig
GCF_000966815.1,Contig
GCF_001061715.1,Contig
GCF_001066085.1,Contig
