;genome;number_of_records;unknown;staphyloferrin A;staphyloferrin B;staphylopine
GCF_011403135.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_030212975.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001837045.1;Staphylococcus sp. HMSC063E12;1;0;50.0;0;0
GCF_016904985.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001809965.1;Staphylococcus sp. HMSC077E12;1;0;50.0;0;0
GCF_001839245.1;Staphylococcus sp. HMSC69H07;1;0;50.0;0;0
GCF_022689405.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_002073395.2;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_024104435.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022689325.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001839265.1;Staphylococcus sp. HMSC70A05;1;0;50.0;0;0
GCF_000185485.1;Staphylococcus lugdunensis M23590;1;0;50.0;0;0
GCF_026427535.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_030228685.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022569205.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001810005.1;Staphylococcus sp. HMSC068D08;1;0;50.0;0;0
GCF_026427495.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_020882195.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022569135.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_024106275.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001836475.1;Staphylococcus sp. HMSC058E03;1;0;50.0;0;0
GCF_022689165.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001837145.1;Staphylococcus sp. HMSC064A09;1;0;50.0;0;0
GCF_001812565.1;Staphylococcus sp. HMSC059F04;1;0;50.0;0;0
GCA_023712745.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_030224835.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_000247225.1;Staphylococcus lugdunensis VCU139;1;0;50.0;0;0
GCF_001836545.1;Staphylococcus sp. HMSC060A04;1;0;50.0;0;0
GCF_001809105.1;Staphylococcus sp. HMSC062E10;1;0;50.0;0;0
GCF_022689255.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_030225045.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001839355.1;Staphylococcus sp. HMSC74A08;1;0;50.0;0;0
GCF_022689445.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_030228425.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_002901705.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_002407165.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_008728755.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001812005.1;Staphylococcus sp. HMSC065E07;1;0;50.0;0;0
GCF_022689525.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_023508855.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022569195.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001558775.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022689235.1;Staphylococcus lugdunensis;1;0;50.0;0;0
