accession_code,assembly_level
GCA_023665865.1,Scaffold
GCA_000433035.1,Scaffold
GCA_020544305.1,Complete Genome
GCF_000236925.1,Complete Genome
GCF_000010125.1,Complete Genome
GCA_945870555.1,Contig
GCF_000298075.1,Scaffold
GCF_000934465.1,Contig
GCF_000875895.1,Contig
GCF_000816085.1,Complete Genome
GCF_001027105.1,Complete Genome
GCF_002614725.1,Contig
GCF_001224225.1,Contig
GCF_001431205.1,Scaffold
GCF_001500315.1,Contig
GCF_001618885.1,Complete Genome
GCF_001792775.2,Contig
GCF_002101335.1,Complete Genome
GCF_002732165.1,Contig
GCF_002901705.1,Scaffold
GCF_002901845.1,Scaffold
GCF_002902565.1,Scaffold
GCF_002902575.1,Scaffold
GCF_002902625.1,Scaffold
GCF_002902685.1,Scaffold
GCF_002902725.1,Scaffold
GCF_002902085.1,Scaffold
GCF_002902145.1,Scaffold
GCF_002902235.1,Scaffold
GCF_002902285.1,Scaffold
GCF_002902305.1,Scaffold
GCF_002902325.1,Scaffold
GCF_002902345.1,Scaffold
GCF_002902365.1,Scaffold
GCF_002902385.1,Scaffold
GCF_002902405.1,Scaffold
GCF_002901865.1,Scaffold
GCF_002901995.1,Scaffold
GCF_003019255.1,Complete Genome
GCF_003019275.1,Complete Genome
GCF_003012915.1,Complete Genome
GCF_003697915.1,Contig
GCF_010365305.1,Complete Genome
GCF_003970495.1,Scaffold
GCF_006094395.1,Complete Genome
GCF_003718735.1,Complete Genome
GCF_006742205.1,Complete Genome
GCF_004785665.1,Scaffold
GCF_013463155.1,Complete Genome
GCF_013391405.1,Contig
GCF_014635045.1,Scaffold
GCF_016238445.1,Contig
GCF_015594545.1,Contig
GCF_015775975.1,Complete Genome
GCF_016238465.1,Contig
GCF_020883535.1,Complete Genome
GCF_017583065.1,Contig
GCF_022346615.1,Contig
GCF_024814435.1,Contig
GCF_022815905.2,Complete Genome
GCF_022493055.1,Complete Genome
GCF_025558425.1,Complete Genome
GCF_025558585.1,Complete Genome
GCF_025519785.1,Contig
GCF_026659735.1,Contig
GCF_029024625.1,Complete Genome
GCF_029024945.1,Complete Genome
GCF_029024965.1,Complete Genome
GCF_900183575.1,Contig
GCF_900097965.1,Contig
GCF_900458435.1,Contig
GCF_900186985.1,Complete Genome
GCF_900636325.1,Complete Genome
GCF_900458815.1,Contig
GCF_900458895.1,Complete Genome
GCF_900636385.1,Complete Genome
GCF_943737015.1,Contig
