accession_code,assembly_level
GCF_000025085.1,Complete Genome
GCF_000185485.1,Scaffold
GCF_000247225.1,Contig
GCF_000270465.1,Complete Genome
GCF_000316075.2,Scaffold
GCF_000542395.1,Scaffold
GCF_000649085.1,Contig
GCF_000649125.1,Contig
GCF_001546615.1,Scaffold
GCF_001558775.1,Complete Genome
GCF_001558815.2,Complete Genome
GCF_001808805.1,Scaffold
GCF_001809965.1,Scaffold
GCF_001810005.1,Scaffold
GCF_001812005.1,Scaffold
GCF_001812415.1,Scaffold
GCF_001812565.1,Scaffold
GCF_001813905.1,Scaffold
GCF_001814565.1,Scaffold
GCF_001836305.1,Scaffold
GCF_001836475.1,Scaffold
GCF_001836545.1,Scaffold
GCF_001836835.1,Scaffold
GCF_001836885.1,Scaffold
GCF_001836895.1,Scaffold
GCF_001836955.1,Scaffold
GCF_001837025.1,Scaffold
GCF_001837045.1,Scaffold
GCF_001837105.1,Scaffold
GCF_001837155.1,Scaffold
GCF_001837525.1,Scaffold
GCF_001838955.1,Scaffold
GCF_001839145.1,Scaffold
GCF_001839265.1,Scaffold
GCF_001839345.1,Scaffold
GCF_001839355.1,Scaffold
GCF_001839425.1,Scaffold
GCF_002073395.2,Complete Genome
GCF_002096075.1,Chromosome
GCF_002096115.1,Chromosome
GCF_002096135.1,Chromosome
GCF_002096155.1,Chromosome
GCF_002096975.1,Chromosome
GCF_002097035.1,Chromosome
GCF_002250095.2,Complete Genome
GCF_002407165.1,Complete Genome
GCF_002591215.1,Complete Genome
GCF_002901705.1,Scaffold
GCF_008728735.1,Complete Genome
GCF_008728755.1,Complete Genome
GCF_008728775.1,Complete Genome
GCF_008728795.1,Complete Genome
GCF_008728815.1,Complete Genome
GCF_009931395.1,Complete Genome
GCF_011403135.1,Complete Genome
GCF_014962425.1,Complete Genome
GCF_016804245.1,Complete Genome
GCF_016808995.1,Scaffold
GCF_016904985.1,Scaffold
GCF_020682785.1,Contig
GCF_020882195.1,Complete Genome
GCF_022568915.1,Contig
GCF_022568935.1,Contig
GCF_022568955.1,Contig
GCF_022568975.1,Contig
GCF_022568985.1,Contig
GCF_022569015.1,Contig
GCF_022569035.1,Contig
GCF_022569055.1,Contig
GCF_022569075.1,Contig
GCF_022569085.1,Contig
GCF_022569095.1,Contig
GCF_022569135.1,Contig
GCF_022569155.1,Contig
GCF_022569175.1,Contig
GCF_022569195.1,Contig
GCF_022569205.1,Contig
GCF_022569235.1,Contig
GCF_022569245.1,Contig
GCF_022569275.1,Contig
GCF_022689125.1,Contig
GCF_022689145.1,Contig
GCF_022689165.1,Contig
GCF_022689185.1,Contig
GCF_022689205.1,Contig
GCF_022689225.1,Contig
GCF_022689235.1,Contig
GCF_022689255.1,Contig
GCF_022689285.1,Contig
GCF_022689305.1,Contig
GCF_022689325.1,Contig
GCF_022689335.1,Contig
GCF_022689365.1,Contig
GCF_022689385.1,Contig
GCF_022689405.1,Contig
GCF_022689425.1,Contig
GCF_022689445.1,Contig
GCF_022689465.1,Contig
GCF_022689485.1,Contig
GCF_022689495.1,Contig
GCF_022689525.1,Contig
GCF_022689545.1,Contig
GCF_022689605.1,Contig
GCF_023508855.1,Complete Genome
GCF_023508875.1,Complete Genome
GCF_024104375.1,Contig
GCF_024104395.1,Contig
GCF_024104415.1,Contig
GCF_024104435.1,Contig
GCF_024104455.1,Contig
GCF_024104475.1,Contig
GCF_024104495.1,Contig
GCF_024104505.1,Contig
GCF_024106275.1,Contig
GCF_025152445.1,Contig
GCF_026427435.1,Complete Genome
GCF_026427455.1,Complete Genome
GCF_026427475.1,Complete Genome
GCF_026427495.1,Complete Genome
GCF_026427515.1,Complete Genome
GCF_026427535.1,Complete Genome
GCF_030212975.1,Contig
GCF_030224835.1,Contig
GCF_030225045.1,Contig
GCF_030228685.1,Contig
GCF_030230405.1,Contig
GCF_900474705.1,Complete Genome
GCF_900478255.1,Complete Genome
